Time: 15.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.25, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 14.07, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.49, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 21.39, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.23, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 12.81, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 55.1, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 61.91, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.53, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.5, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.43, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 3.39, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 85.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 70.92, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.42, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.27, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.34, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 18.0, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.69, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.61, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 11.24, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 8.06, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.67, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.57, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.73, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.59, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.55, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 7.56, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 5.86, Collision Actor ID: 0, Collision Actor Type: static.terrain
Time: 6.88, Collision Actor ID: 0, Collision Actor Type: static.terrain
