x,y,z
136.0,68.0,0.0
122.0,67.0,0.0
109.0,65.0,0.0
97.0,64.0,0.0
82.0,62.0,0.0
70.0,58.0,0.0
59.0,51.0,0.0
51.0,41.0,0.0
44.0,30.0,0.0
36.0,18.0,0.0
32.0,4.0,0.0
33.0,-4.0,0.0
37.0,-9.0,0.0
46.0,-13.0,0.0
53.0,-15.0,0.0
61.0,-13.0,0.0
65.0,-10.0,0.0
69.0,-5.0,0.0
77.0,1.0,0.0
84.0,3.0,0.0
92.0,-0.0,0.0
99.0,-6.0,0.0
110.0,-15.0,0.0
118.0,-24.0,0.0
126.0,-35.0,0.0
128.0,-50.0,0.0
120.0,-63.0,0.0
109.0,-75.0,0.0
98.0,-88.0,0.0
87.0,-99.0,0.0
78.0,-110.0,0.0
68.0,-121.0,0.0
59.0,-131.0,0.0
49.0,-141.0,0.0
39.0,-153.0,0.0
36.0,-162.0,0.0
37.0,-171.0,0.0
41.0,-176.0,0.0
46.0,-180.0,0.0
68.0,-188.0,0.0
85.0,-193.0,0.0
102.0,-198.0,0.0
118.0,-204.0,0.0
134.0,-209.0,0.0
150.0,-215.0,0.0
167.0,-221.0,0.0
174.0,-224.0,0.0
178.0,-228.0,0.0
179.0,-236.0,0.0
178.0,-244.0,0.0
